"set_number","set_name","type","url","file","confidence","note"
"75325","The Mandalorianâ€™s N-1 Starfighter","box","https://images.brickset.com/sets/large/75325-1.jpg?202202140910","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\box.jpg","high","main set image"
"75325","The Mandalorianâ€™s N-1 Starfighter","alt","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_26567.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_26567.jpg","n/a","additional image"
"75325","The Mandalorianâ€™s N-1 Starfighter","alt","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_alt1.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_alt1.jpg","n/a","additional image"
"75325","The Mandalorianâ€™s N-1 Starfighter","alt","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_alt2.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_alt2.jpg","n/a","additional image"
"75325","The Mandalorianâ€™s N-1 Starfighter","alt","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_alt3.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_alt3.jpg","n/a","additional image"
"75325","The Mandalorianâ€™s N-1 Starfighter","alt","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_alt4.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_alt4.jpg","n/a","additional image"
"75325","The Mandalorianâ€™s N-1 Starfighter","alt","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_alt5.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_alt5.jpg","n/a","additional image"
"75325","The Mandalorianâ€™s N-1 Starfighter","alt","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_alt6.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_alt6.jpg","n/a","additional image"
"75325","The Mandalorianâ€™s N-1 Starfighter","play_candidate","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_26567.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_26567.jpg","medium","heuristic"
"75325","The Mandalorianâ€™s N-1 Starfighter","natural_candidate","https://images.brickset.com/sets/AdditionalImages/75325-1/75325_alt1.jpg","C:\Users\auto_\Dropbox\AI_Shared\Wise_Bricks\Wise Bricks\Content\MVP\set-images\75325\75325_alt1.jpg","low","heuristic"
